ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,107,1,3,10,900.0,900.0,0.0,900.0,1
0,1,191,1,3,9,810.0,900.0,0.0,900.0,1
0,1,100,1,3,1,90.0,900.0,0.0,900.0,1
0,2,49,1,3,10,900.0,900.0,0.0,900.0,1
0,3,118,1,3,9,810.0,900.0,0.0,900.0,1
0,3,293,2,3,1,90.0,900.0,0.0,900.0,1
0,4,119,1,3,10,900.0,900.0,0.0,900.0,1
0,5,193,1,3,10,900.0,900.0,0.0,900.0,1
0,6,195,1,3,9,810.0,900.0,0.0,900.0,1
0,6,201,1,3,1,90.0,900.0,0.0,900.0,1
0,7,144,1,3,6,570.0,900.0,0.0,840.0,1
0,7,99,1,3,3,270.0,900.0,0.0,840.0,1
0,8,189,1,3,10,920.0,960.0,0.0,920.0,1
0,9,9,1,3,10,900.0,940.0,0.0,900.0,1
0,10,171,1,3,9,810.0,940.0,0.0,810.0,1
0,11,15,1,3,11,990.0,1030.0,0.0,990.0,1
0,12,94,1,3,10,900.0,940.0,0.0,900.0,1
0,13,172,1,3,9,810.0,940.0,0.0,810.0,1
0,14,128,1,3,11,990.0,1030.0,0.0,990.0,1
1,0,107,1,3,10,900.0,900.0,0.0,900.0,1
1,1,191,1,3,9,810.0,900.0,0.0,900.0,1
1,1,100,1,3,1,90.0,900.0,0.0,900.0,1
1,2,49,1,3,10,900.0,900.0,0.0,900.0,1
1,3,118,1,3,9,810.0,900.0,0.0,900.0,1
1,3,293,2,3,1,90.0,900.0,0.0,900.0,1
1,4,119,1,3,10,900.0,900.0,0.0,900.0,1
1,5,193,1,3,10,900.0,900.0,0.0,900.0,1
1,6,195,1,3,9,810.0,900.0,0.0,900.0,1
1,6,201,1,3,1,90.0,900.0,0.0,900.0,1
1,7,144,1,3,6,570.0,900.0,0.0,840.0,1
1,7,99,1,3,3,270.0,900.0,0.0,840.0,1
1,8,189,1,3,10,920.0,960.0,0.0,920.0,1
1,9,9,1,3,10,900.0,940.0,0.0,900.0,1
1,10,171,1,3,9,810.0,940.0,0.0,810.0,1
1,11,15,1,3,11,990.0,1030.0,0.0,990.0,1
1,12,94,1,3,10,900.0,940.0,0.0,900.0,1
1,13,172,1,3,9,810.0,940.0,0.0,810.0,1
1,14,128,1,3,11,990.0,1030.0,0.0,990.0,1
2,0,107,1,3,10,900.0,900.0,0.0,900.0,1
2,1,191,1,3,9,810.0,900.0,0.0,900.0,1
2,1,100,1,3,1,90.0,900.0,0.0,900.0,1
2,2,49,1,3,10,900.0,900.0,0.0,900.0,1
