ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,525,5,10,11,880.0,900.0,0.0,880.0,1
0,1,531,5,10,11,880.0,920.0,0.0,880.0,1
0,2,107,1,3,10,900.0,940.0,0.0,900.0,1
0,3,49,1,3,10,900.0,940.0,0.0,900.0,1
0,4,189,1,3,10,920.0,940.0,0.0,920.0,1
0,5,119,1,3,10,900.0,920.0,0.0,900.0,1
0,6,193,1,3,10,900.0,920.0,0.0,900.0,1
0,7,9,1,3,10,900.0,920.0,0.0,900.0,1
0,8,94,1,3,10,900.0,920.0,0.0,900.0,1
0,9,97,1,3,10,900.0,920.0,0.0,900.0,1
0,10,134,1,3,10,900.0,920.0,0.0,900.0,1
0,11,46,1,3,10,900.0,920.0,0.0,900.0,1
0,12,191,1,3,9,810.0,920.0,0.0,900.0,1
0,12,100,1,3,1,90.0,920.0,0.0,900.0,1
0,13,135,1,3,10,900.0,920.0,0.0,900.0,1
0,14,142,1,3,10,900.0,920.0,0.0,900.0,1
1,0,525,5,10,11,880.0,900.0,0.0,880.0,1
1,1,531,5,10,11,880.0,920.0,0.0,880.0,1
1,2,107,1,3,10,900.0,940.0,0.0,900.0,1
1,3,49,1,3,10,900.0,940.0,0.0,900.0,1
1,4,189,1,3,10,920.0,940.0,0.0,920.0,1
1,5,119,1,3,10,900.0,920.0,0.0,900.0,1
1,6,193,1,3,10,900.0,920.0,0.0,900.0,1
1,7,9,1,3,10,900.0,920.0,0.0,900.0,1
1,8,94,1,3,10,900.0,920.0,0.0,900.0,1
1,9,97,1,3,10,900.0,920.0,0.0,900.0,1
1,10,134,1,3,10,900.0,920.0,0.0,900.0,1
1,11,46,1,3,10,900.0,920.0,0.0,900.0,1
1,12,191,1,3,9,810.0,920.0,0.0,900.0,1
1,12,100,1,3,1,90.0,920.0,0.0,900.0,1
1,13,135,1,3,10,900.0,920.0,0.0,900.0,1
1,14,142,1,3,10,900.0,920.0,0.0,900.0,1
2,0,525,5,10,11,880.0,900.0,0.0,880.0,1
2,1,531,5,10,11,880.0,920.0,0.0,880.0,1
2,2,107,1,3,10,900.0,940.0,0.0,900.0,1
2,3,49,1,3,10,900.0,940.0,0.0,900.0,1
2,4,189,1,3,10,920.0,940.0,0.0,920.0,1
2,5,119,1,3,10,900.0,920.0,0.0,900.0,1
2,6,193,1,3,10,900.0,920.0,0.0,900.0,1
2,7,9,1,3,10,900.0,920.0,0.0,900.0,1
2,8,94,1,3,10,900.0,920.0,0.0,900.0,1
2,9,97,1,3,10,900.0,920.0,0.0,900.0,1
2,10,134,1,3,10,900.0,920.0,0.0,900.0,1
2,11,46,1,3,10,900.0,920.0,0.0,900.0,1
2,12,191,1,3,9,810.0,920.0,0.0,900.0,1
2,12,100,1,3,1,90.0,920.0,0.0,900.0,1
2,13,135,1,3,10,900.0,920.0,0.0,900.0,1
2,14,142,1,3,10,900.0,920.0,0.0,900.0,1
3,0,525,5,10,11,880.0,900.0,0.0,880.0,1
3,1,531,5,10,11,880.0,920.0,0.0,880.0,1
3,2,107,1,3,10,900.0,940.0,0.0,900.0,1
3,3,49,1,3,10,900.0,940.0,0.0,900.0,1
3,4,189,1,3,10,920.0,940.0,0.0,920.0,1
3,5,119,1,3,10,900.0,920.0,0.0,900.0,1
3,6,193,1,3,10,900.0,920.0,0.0,900.0,1
3,7,9,1,3,10,900.0,920.0,0.0,900.0,1
3,8,94,1,3,10,900.0,920.0,0.0,900.0,1
3,9,97,1,3,10,900.0,920.0,0.0,900.0,1
3,10,134,1,3,10,900.0,920.0,0.0,900.0,1
3,11,46,1,3,10,900.0,920.0,0.0,900.0,1
3,12,191,1,3,9,810.0,920.0,0.0,900.0,1
3,12,100,1,3,1,90.0,920.0,0.0,900.0,1
3,13,135,1,3,10,900.0,920.0,0.0,900.0,1
3,14,142,1,3,10,900.0,920.0,0.0,900.0,1
4,0,525,5,10,11,880.0,900.0,0.0,880.0,1
4,1,531,5,10,11,880.0,920.0,0.0,880.0,1
4,2,107,1,3,10,900.0,940.0,0.0,900.0,1
4,3,49,1,3,10,900.0,940.0,0.0,900.0,1
4,4,189,1,3,10,920.0,940.0,0.0,920.0,1
4,5,119,1,3,10,900.0,920.0,0.0,900.0,1
4,6,193,1,3,10,900.0,920.0,0.0,900.0,1
4,7,9,1,3,10,900.0,920.0,0.0,900.0,1
4,8,94,1,3,10,900.0,920.0,0.0,900.0,1
4,9,97,1,3,10,900.0,920.0,0.0,900.0,1
4,10,134,1,3,10,900.0,920.0,0.0,900.0,1
4,11,46,1,3,10,900.0,920.0,0.0,900.0,1
4,12,191,1,3,9,810.0,920.0,0.0,900.0,1
4,12,100,1,3,1,90.0,920.0,0.0,900.0,1
4,13,135,1,3,10,900.0,920.0,0.0,900.0,1
4,14,142,1,3,10,900.0,920.0,0.0,900.0,1
