ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,245,2,3,24,2090.0,2700.0,0.0,2700.0,0
0,0,280,2,3,7,560.0,2700.0,0.0,2700.0,0
0,0,355,3,3,1,50.0,2700.0,0.0,2700.0,0
0,1,260,2,3,26,2180.0,2700.0,0.0,2660.0,1
0,1,257,2,3,6,480.0,2700.0,0.0,2660.0,1
0,2,219,2,3,24,2060.0,2740.0,0.0,2740.0,0
0,2,232,2,3,7,630.0,2740.0,0.0,2740.0,0
0,2,343,3,3,1,50.0,2740.0,0.0,2740.0,0
0,3,285,2,3,24,1920.0,2700.0,0.0,2690.0,0
0,3,234,2,3,8,720.0,2700.0,0.0,2690.0,0
0,3,403,3,3,1,50.0,2700.0,0.0,2690.0,0
0,4,248,2,3,24,1920.0,2710.0,0.0,2690.0,0
0,4,231,2,3,8,720.0,2710.0,0.0,2690.0,0
0,4,347,3,3,1,50.0,2710.0,0.0,2690.0,0
0,5,249,2,3,23,1970.0,2720.0,0.0,2710.0,0
0,5,252,2,3,8,690.0,2720.0,0.0,2710.0,0
0,5,265,2,1,1,50.0,2720.0,0.0,2710.0,0
0,6,238,2,3,22,1800.0,2710.0,0.0,2680.0,0
0,6,278,2,3,10,800.0,2710.0,0.0,2680.0,0
0,6,337,2,3,1,80.0,2710.0,0.0,2680.0,0
0,7,247,2,3,22,1790.0,2730.0,0.0,2710.0,1
0,7,236,2,3,11,920.0,2730.0,0.0,2710.0,1
0,8,312,2,3,23,1840.0,2720.0,0.0,2710.0,0
0,8,221,2,3,10,820.0,2720.0,0.0,2710.0,0
0,8,386,3,3,1,50.0,2720.0,0.0,2710.0,0
0,9,335,2,3,22,1980.0,2710.0,0.0,2640.0,0
0,9,233,2,3,7,580.0,2710.0,0.0,2640.0,0
0,9,217,2,3,1,80.0,2710.0,0.0,2640.0,0
0,10,275,2,3,21,1680.0,2770.0,0.0,2720.0,0
0,10,227,2,3,12,960.0,2770.0,0.0,2720.0,0
0,10,299,2,3,1,80.0,2770.0,0.0,2720.0,0
0,11,235,2,3,21,1850.0,2750.0,0.0,2750.0,1
0,11,283,2,3,11,900.0,2750.0,0.0,2750.0,1
0,12,321,2,3,18,1620.0,2700.0,0.0,2670.0,0
0,12,228,2,3,11,960.0,2700.0,0.0,2670.0,0
0,12,218,2,3,1,90.0,2700.0,0.0,2670.0,0
0,13,267,2,3,18,1470.0,2730.0,0.0,2730.0,0
0,13,250,2,3,14,1170.0,2730.0,0.0,2730.0,0
