,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,2199.128650977539,1565.3225984808723,0.0,432.7722824377305,3835.406190405358,-312.2289754550144,-1878.648452063797,3520243.280369435,-4311.912649083352,-20357.69131611955,-2.636223932864669
big_s1,1476.3832555691838,1020.576480191553,0.0,290.3604504320214,3100.3076124448507,-262.2220941836076,-1320.8708699562721,3008178.0677226014,-3366.8509422871775,-11858.718608899944,-3.8317597180192378
big_s2,2156.4870874070484,1532.3811194683692,0.0,424.44793251198365,4503.541873712895,-373.5026028557985,-2070.59368030548,3948318.9216836975,-4592.453696091701,-15012.567994969442,-2.132404247774506
big_s3,2012.445577570867,1426.7923799639616,0.0,395.9275139764843,4044.3358394407196,-334.98114740860524,-1858.947124222484,3213510.168834685,-3939.655927485617,-13145.9246885294,-3.0713705836736658
big_s4,1833.5163755996175,1302.3287240812601,0.0,361.37614303150093,3646.442834981951,-266.0337153621049,-1919.911375318247,2952205.592814145,-3609.878173895905,-17831.913995900773,-3.462590405565968
small_s0,11.288467395141867,-26.21306195431896,0.0,9.220706031750707,-26.317239826043437,-9.220706031750707,-41.972653856474835,1098636.5487716857,-713.0543445536072,-26808.2509499139,-8.13686617416943
small_s1,10.724044025384773,-24.90240885660301,0.0,8.759670730163172,-25.001377834741263,-8.759670730163172,-39.874021163651086,1094666.6565821932,-712.2928268947702,-18707.907947876043,-7.890155022607119
small_s2,10.724044025384773,-24.90240885660301,0.0,8.759670730163172,-25.001377834741263,-8.759670730163172,-39.874021163651086,1199170.8851568368,-772.1955103100186,-27174.338985519727,-7.0836926103332765
small_s3,11.882597258044068,-27.592696794019954,0.0,9.70600634921127,-27.702357711624668,-9.70600634921127,-44.18174090155245,1059735.9327705873,-685.5528396575486,-22115.89272210697,-8.948779588925944
small_s4,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.507095685844696,900758.469541667,-585.5115466418973,-19164.622153063312,-10.703003380737911
rand_s0,222.1851321131804,-562.0699611453578,306.9904462386467,134.41909163912376,-384.3847381373137,-157.77649550691282,-1573.4719352823663,4507210.5388798425,-4020.328842836455,-29494.987979986643,-6.689261010678478
rand_s1,-124.02187553097431,-521.9825327853187,685.8200520261627,-170.860368194486,-420.82398045254286,719.7787997416123,-2123.2506031319667,4794165.0303515,-4367.897961541678,-23845.155501349036,-7.986624668776501
