,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,1469.7636522734902,1039.5439638676785,0.0,288.77320996184494,2527.6499884615914,-208.36762891763203,-1196.593020619013,5505209.516331794,-2598.9588896566042,-19945.19070352221,-1.7548123674857388
big_s1,888.2720422926359,611.0937238453175,0.0,174.55626068450266,1953.3501979569987,-157.7186403529409,-661.3689107741185,3285296.1334487177,-1571.0063461605241,-7997.255699202927,-2.5762983956900776
big_s2,1452.44162398073,1020.6691403269466,0.0,285.5758354979532,3104.551110012491,-267.77745493051566,-1567.3512580052227,5551384.750697583,-2570.182519481579,-10697.473477261503,-1.2289863489629878
big_s3,1238.317828610081,864.6496609354843,0.0,243.4674419885048,2795.932497807592,-224.81079896184355,-1304.047859085208,4200804.46834905,-2191.206977896543,-8679.588748735809,-1.7498323496429704
big_s4,1132.1455808546789,806.2613044400774,0.0,223.00034113580222,1893.0356788909971,-130.92730507878395,-1108.3377670146604,4544306.206247393,-2007.00307022222,-14261.602324923422,-3.0852368030306607
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1879573.5849773325,-422.4776809255218,-17716.590814666473,-5.618235521669328
small_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869641.4006689473,-418.51696662063347,-12925.837652925164,-5.350618353346056
small_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099862.657173055,-436.41518064510916,-16932.64705592123,-5.805066726496128
small_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454279.8245207928,-346.7079452320243,-15970.633730458647,-6.852673433901725
small_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243227.038740532,-278.32423554619425,-13030.687369978754,-7.351435903384529
rand_s0,-72.55301394473011,-292.61766619875766,250.52964716974964,-82.3800517751817,-1507.0701834136078,31.821210777237205,-623.2105343096713,5036532.64399335,-1657.8215206747716,-20861.181061201576,-4.915328917355074
rand_s1,90.4921862486377,-331.0652180777279,466.3845631962107,-48.73160082123801,-2766.378898077982,280.4991634321674,-1186.171586034591,6251853.101951629,-2290.271223752087,-18731.46719946144,-3.681984221267414
rand_s2,416.93194197070494,0.0,-167.64634298674602,209.55792873343253,-28.58844982545265,-365.229532935411,-187.14121772824168,5462595.884043427,-1639.63320925479,-44240.26868564656,-5.024468041426798
rand_s3,442.0883663240408,-156.43407903421706,-163.67507055301266,155.13652982385418,-585.5128910397376,-86.27472684143378,-487.02185636344905,6468471.785841717,-1923.217186372391,-24110.50864879798,-5.075428136854544
rand_s4,353.0321462079789,-352.1725090191409,-541.8730959080921,244.5712416768014,-1013.8181233475927,455.3182739463118,-526.6568220378548,3555608.595154822,-1209.0670943301159,-13180.097672920714,-7.075276580738744
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-194.13798773900277,1936.6113627975853,0.0,-257.551877385508,1948.7612508568754,257.551877385508,-2432.8515065625106,5239996.727493734,-2140.694987481848,-1720.5552505314195,-2.942335031409873
eco_s1,-145.94936159839,1489.4199202692087,0.0,-198.27692040090852,1498.7437123359528,198.27692040090852,-1908.2725439526878,3702015.650336405,-1613.2333675904001,-1561.7468848291396,-3.2568674480414077
eco_s2,-179.51366023434792,1743.2287383457767,0.0,-232.58916836452818,1736.7371127668325,229.0779085148907,-2237.06672106058,5550344.574016531,-1920.665822016279,-1933.052056510093,-3.1832615363617203
