ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,509,5,10,6,480.0,900.0,800.0,0
0,0,459,5,10,3,240.0,900.0,800.0,0
0,0,703,5,10,1,80.0,900.0,800.0,0
0,1,603,5,10,6,480.0,1000.0,960.0,1
0,1,518,5,10,6,480.0,1000.0,960.0,1
0,2,430,5,10,9,720.0,940.0,930.0,0
0,2,616,5,10,2,160.0,940.0,930.0,0
0,2,385,3,3,1,50.0,940.0,930.0,0
0,3,515,5,10,9,720.0,910.0,880.0,1
0,3,701,5,10,2,160.0,910.0,880.0,1
0,4,567,5,10,9,720.0,930.0,930.0,0
0,4,615,5,10,2,160.0,930.0,930.0,0
0,4,340,3,3,1,50.0,930.0,930.0,0
0,5,586,5,10,9,720.0,900.0,880.0,1
0,5,610,5,10,2,160.0,900.0,880.0,1
0,6,542,5,10,9,720.0,920.0,880.0,1
0,6,679,5,10,2,160.0,920.0,880.0,1
0,7,535,5,10,10,800.0,940.0,900.0,1
0,7,380,3,3,2,100.0,940.0,900.0,1
0,8,555,5,10,10,800.0,940.0,900.0,1
0,8,399,3,3,2,100.0,940.0,900.0,1
0,9,473,5,10,10,800.0,940.0,900.0,1
0,9,361,3,3,2,100.0,940.0,900.0,1
0,10,543,5,10,10,800.0,940.0,900.0,1
0,10,397,3,3,2,100.0,940.0,900.0,1
0,11,525,5,10,11,880.0,940.0,930.0,1
0,11,396,3,3,1,50.0,940.0,930.0,1
0,12,592,5,10,10,800.0,910.0,900.0,0
0,12,342,3,3,1,50.0,910.0,900.0,0
0,12,374,3,3,1,50.0,910.0,900.0,0
0,13,531,5,10,11,880.0,910.0,880.0,1
0,14,539,5,10,9,720.0,930.0,920.0,1
0,14,401,3,3,4,200.0,930.0,920.0,1
1,0,509,5,10,6,480.0,900.0,800.0,0
1,0,459,5,10,3,240.0,900.0,800.0,0
1,0,703,5,10,1,80.0,900.0,800.0,0
1,1,603,5,10,6,480.0,1000.0,960.0,1
1,1,518,5,10,6,480.0,1000.0,960.0,1
1,2,430,5,10,9,720.0,940.0,930.0,0
1,2,616,5,10,2,160.0,940.0,930.0,0
1,2,385,3,3,1,50.0,940.0,930.0,0
1,3,515,5,10,9,720.0,910.0,880.0,1
1,3,701,5,10,2,160.0,910.0,880.0,1
1,4,567,5,10,9,720.0,930.0,930.0,0
1,4,615,5,10,2,160.0,930.0,930.0,0
1,4,340,3,3,1,50.0,930.0,930.0,0
1,5,586,5,10,9,720.0,900.0,880.0,1
1,5,610,5,10,2,160.0,900.0,880.0,1
1,6,542,5,10,9,720.0,920.0,880.0,1
1,6,679,5,10,2,160.0,920.0,880.0,1
1,7,535,5,10,10,800.0,940.0,900.0,1
1,7,380,3,3,2,100.0,940.0,900.0,1
1,8,555,5,10,10,800.0,940.0,900.0,1
1,8,399,3,3,2,100.0,940.0,900.0,1
1,9,473,5,10,10,800.0,940.0,900.0,1
1,9,361,3,3,2,100.0,940.0,900.0,1
1,10,543,5,10,10,800.0,940.0,900.0,1
1,10,397,3,3,2,100.0,940.0,900.0,1
1,11,525,5,10,11,880.0,940.0,930.0,1
1,11,396,3,3,1,50.0,940.0,930.0,1
1,12,592,5,10,10,800.0,910.0,900.0,0
1,12,342,3,3,1,50.0,910.0,900.0,0
1,12,374,3,3,1,50.0,910.0,900.0,0
1,13,531,5,10,11,880.0,910.0,880.0,1
1,14,539,5,10,9,720.0,930.0,920.0,1
1,14,401,3,3,4,200.0,930.0,920.0,1
2,0,509,5,10,6,480.0,900.0,800.0,0
2,0,459,5,10,3,240.0,900.0,800.0,0
2,0,703,5,10,1,80.0,900.0,800.0,0
2,1,603,5,10,6,480.0,1000.0,960.0,1
2,1,518,5,10,6,480.0,1000.0,960.0,1
2,2,430,5,10,9,720.0,940.0,930.0,0
2,2,616,5,10,2,160.0,940.0,930.0,0
2,2,385,3,3,1,50.0,940.0,930.0,0
2,3,515,5,10,9,720.0,910.0,880.0,1
2,3,701,5,10,2,160.0,910.0,880.0,1
2,4,567,5,10,9,720.0,930.0,930.0,0
2,4,615,5,10,2,160.0,930.0,930.0,0
