ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,107,1,3,10,900.0,900.0,900.0,1
0,1,191,1,3,9,810.0,900.0,900.0,1
0,1,100,1,3,1,90.0,900.0,900.0,1
0,2,49,1,3,10,900.0,900.0,900.0,1
0,3,119,1,3,10,900.0,900.0,900.0,1
0,4,193,1,3,10,900.0,900.0,900.0,1
0,5,118,1,3,9,810.0,900.0,900.0,1
0,5,201,1,3,1,90.0,900.0,900.0,1
0,6,9,1,3,10,900.0,900.0,900.0,1
0,7,195,1,3,9,810.0,900.0,900.0,1
0,7,35,1,3,1,90.0,900.0,900.0,1
0,8,94,1,3,10,900.0,900.0,900.0,1
0,9,171,1,3,9,810.0,900.0,900.0,1
0,9,81,1,3,1,90.0,900.0,900.0,1
0,10,97,1,3,10,900.0,900.0,900.0,1
0,11,134,1,3,10,900.0,900.0,900.0,1
0,12,46,1,3,10,900.0,900.0,900.0,1
0,13,172,1,3,9,810.0,900.0,900.0,1
0,13,214,1,3,1,90.0,900.0,900.0,1
0,14,135,1,3,10,900.0,900.0,900.0,1
1,0,107,1,3,10,900.0,900.0,900.0,1
1,1,191,1,3,9,810.0,900.0,900.0,1
1,1,100,1,3,1,90.0,900.0,900.0,1
1,2,49,1,3,10,900.0,900.0,900.0,1
1,3,119,1,3,10,900.0,900.0,900.0,1
1,4,193,1,3,10,900.0,900.0,900.0,1
1,5,118,1,3,9,810.0,900.0,900.0,1
1,5,201,1,3,1,90.0,900.0,900.0,1
1,6,9,1,3,10,900.0,900.0,900.0,1
1,7,195,1,3,9,810.0,900.0,900.0,1
1,7,35,1,3,1,90.0,900.0,900.0,1
1,8,94,1,3,10,900.0,900.0,900.0,1
1,9,171,1,3,9,810.0,900.0,900.0,1
1,9,81,1,3,1,90.0,900.0,900.0,1
1,10,97,1,3,10,900.0,900.0,900.0,1
1,11,134,1,3,10,900.0,900.0,900.0,1
1,12,46,1,3,10,900.0,900.0,900.0,1
1,13,172,1,3,9,810.0,900.0,900.0,1
1,13,214,1,3,1,90.0,900.0,900.0,1
1,14,135,1,3,10,900.0,900.0,900.0,1
2,0,107,1,3,10,900.0,900.0,900.0,1
2,1,191,1,3,9,810.0,900.0,900.0,1
2,1,100,1,3,1,90.0,900.0,900.0,1
2,2,49,1,3,10,900.0,900.0,900.0,1
2,3,119,1,3,10,900.0,900.0,900.0,1
2,4,193,1,3,10,900.0,900.0,900.0,1
2,5,118,1,3,9,810.0,900.0,900.0,1
2,5,201,1,3,1,90.0,900.0,900.0,1
2,6,9,1,3,10,900.0,900.0,900.0,1
2,7,195,1,3,9,810.0,900.0,900.0,1
2,7,35,1,3,1,90.0,900.0,900.0,1
2,8,94,1,3,10,900.0,900.0,900.0,1
2,9,171,1,3,9,810.0,900.0,900.0,1
2,9,81,1,3,1,90.0,900.0,900.0,1
2,10,97,1,3,10,900.0,900.0,900.0,1
2,11,134,1,3,10,900.0,900.0,900.0,1
2,12,46,1,3,10,900.0,900.0,900.0,1
2,13,172,1,3,9,810.0,900.0,900.0,1
2,13,214,1,3,1,90.0,900.0,900.0,1
2,14,135,1,3,10,900.0,900.0,900.0,1
3,0,107,1,3,10,900.0,900.0,900.0,1
3,1,191,1,3,9,810.0,900.0,900.0,1
3,1,100,1,3,1,90.0,900.0,900.0,1
3,2,49,1,3,10,900.0,900.0,900.0,1
3,3,119,1,3,10,900.0,900.0,900.0,1
3,4,193,1,3,10,900.0,900.0,900.0,1
3,5,118,1,3,9,810.0,900.0,900.0,1
3,5,201,1,3,1,90.0,900.0,900.0,1
3,6,9,1,3,10,900.0,900.0,900.0,1
3,7,195,1,3,9,810.0,900.0,900.0,1
3,7,35,1,3,1,90.0,900.0,900.0,1
3,8,94,1,3,10,900.0,900.0,900.0,1
3,9,171,1,3,9,810.0,900.0,900.0,1
3,9,81,1,3,1,90.0,900.0,900.0,1
3,10,97,1,3,10,900.0,900.0,900.0,1
3,11,134,1,3,10,900.0,900.0,900.0,1
3,12,46,1,3,10,900.0,900.0,900.0,1
3,13,172,1,3,9,810.0,900.0,900.0,1
3,13,214,1,3,1,90.0,900.0,900.0,1
3,14,135,1,3,10,900.0,900.0,900.0,1
4,0,107,1,3,10,900.0,900.0,900.0,1
4,1,191,1,3,9,810.0,900.0,900.0,1
4,1,100,1,3,1,90.0,900.0,900.0,1
4,2,49,1,3,10,900.0,900.0,900.0,1
4,3,119,1,3,10,900.0,900.0,900.0,1
4,4,193,1,3,10,900.0,900.0,900.0,1
4,5,118,1,3,9,810.0,900.0,900.0,1
4,5,201,1,3,1,90.0,900.0,900.0,1
4,6,9,1,3,10,900.0,900.0,900.0,1
4,7,195,1,3,9,810.0,900.0,900.0,1
4,7,35,1,3,1,90.0,900.0,900.0,1
4,8,94,1,3,10,900.0,900.0,900.0,1
4,9,171,1,3,9,810.0,900.0,900.0,1
4,9,81,1,3,1,90.0,900.0,900.0,1
4,10,97,1,3,10,900.0,900.0,900.0,1
4,11,134,1,3,10,900.0,900.0,900.0,1
4,12,46,1,3,10,900.0,900.0,900.0,1
4,13,172,1,3,9,810.0,900.0,900.0,1
4,13,214,1,3,1,90.0,900.0,900.0,1
4,14,135,1,3,10,900.0,900.0,900.0,1
