ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,260,2,3,26,2180.0,2700.0,0.0,2660.0,0
0,0,313,2,3,2,160.0,2700.0,0.0,2660.0,0
0,0,243,2,3,4,320.0,2700.0,0.0,2660.0,0
0,1,248,2,3,24,1920.0,2740.0,0.0,2730.0,0
0,1,272,2,3,9,720.0,2740.0,0.0,2730.0,0
0,1,293,2,3,1,90.0,2740.0,0.0,2730.0,0
0,2,285,2,3,24,1920.0,2710.0,0.0,2690.0,0
0,2,281,2,3,9,720.0,2710.0,0.0,2690.0,0
0,2,385,3,3,1,50.0,2710.0,0.0,2690.0,0
0,3,312,2,3,23,1840.0,2720.0,0.0,2720.0,0
0,3,282,2,3,10,800.0,2720.0,0.0,2720.0,0
0,3,299,2,3,1,80.0,2720.0,0.0,2720.0,0
0,4,219,2,3,24,2060.0,2700.0,0.0,2700.0,0
0,4,336,2,3,7,560.0,2700.0,0.0,2700.0,0
0,4,217,2,3,1,80.0,2700.0,0.0,2700.0,0
0,5,245,2,3,24,2090.0,2700.0,0.0,2700.0,0
0,5,264,2,3,7,560.0,2700.0,0.0,2700.0,0
0,5,340,3,3,1,50.0,2700.0,0.0,2700.0,0
0,6,249,2,3,23,1970.0,2700.0,0.0,2690.0,1
0,6,284,2,3,9,720.0,2700.0,0.0,2690.0,1
0,7,247,2,3,22,1790.0,2710.0,0.0,2690.0,0
0,7,288,2,3,9,810.0,2710.0,0.0,2690.0,0
0,7,224,2,3,1,90.0,2710.0,0.0,2690.0,0
0,8,238,2,3,22,1800.0,2720.0,0.0,2700.0,1
0,8,255,2,3,10,900.0,2720.0,0.0,2700.0,1
0,9,335,2,3,22,1980.0,2720.0,0.0,2710.0,1
0,9,274,2,3,9,730.0,2720.0,0.0,2710.0,1
0,10,275,2,3,21,1680.0,2710.0,0.0,2690.0,0
0,10,317,2,3,12,960.0,2710.0,0.0,2690.0,0
0,10,396,3,3,1,50.0,2710.0,0.0,2690.0,0
0,11,235,2,3,21,1850.0,2720.0,0.0,2720.0,0
0,11,221,2,3,10,820.0,2720.0,0.0,2720.0,0
0,11,342,3,3,1,50.0,2720.0,0.0,2720.0,0
0,12,268,2,3,18,1440.0,2700.0,0.0,2650.0,0
0,12,258,2,3,14,1120.0,2700.0,0.0,2650.0,0
0,12,290,2,3,1,90.0,2700.0,0.0,2650.0,0
0,13,267,2,3,18,1470.0,2750.0,0.0,2750.0,1
0,13,276,2,3,16,1280.0,2750.0,0.0,2750.0,1
0,14,223,2,3,17,1530.0,2700.0,0.0,2700.0,0
0,14,296,2,3,14,1120.0,2700.0,0.0,2700.0,0
0,14,374,3,3,1,50.0,2700.0,0.0,2700.0,0
1,0,260,2,3,26,2180.0,2700.0,0.0,2660.0,0
1,0,313,2,3,2,160.0,2700.0,0.0,2660.0,0
1,0,243,2,3,4,320.0,2700.0,0.0,2660.0,0
1,1,248,2,3,24,1920.0,2740.0,0.0,2730.0,0
1,1,272,2,3,9,720.0,2740.0,0.0,2730.0,0
1,1,293,2,3,1,90.0,2740.0,0.0,2730.0,0
1,2,285,2,3,24,1920.0,2710.0,0.0,2690.0,0
1,2,281,2,3,9,720.0,2710.0,0.0,2690.0,0
1,2,385,3,3,1,50.0,2710.0,0.0,2690.0,0
1,3,312,2,3,23,1840.0,2720.0,0.0,2720.0,0
1,3,282,2,3,10,800.0,2720.0,0.0,2720.0,0
1,3,299,2,3,1,80.0,2720.0,0.0,2720.0,0
1,4,219,2,3,24,2060.0,2700.0,0.0,2700.0,0
1,4,336,2,3,7,560.0,2700.0,0.0,2700.0,0
1,4,217,2,3,1,80.0,2700.0,0.0,2700.0,0
1,5,245,2,3,24,2090.0,2700.0,0.0,2700.0,0
1,5,264,2,3,7,560.0,2700.0,0.0,2700.0,0
1,5,340,3,3,1,50.0,2700.0,0.0,2700.0,0
1,6,249,2,3,23,1970.0,2700.0,0.0,2690.0,1
1,6,284,2,3,9,720.0,2700.0,0.0,2690.0,1
1,7,247,2,3,22,1790.0,2710.0,0.0,2690.0,0
1,7,288,2,3,9,810.0,2710.0,0.0,2690.0,0
1,7,224,2,3,1,90.0,2710.0,0.0,2690.0,0
1,8,238,2,3,22,1800.0,2720.0,0.0,2700.0,1
1,8,255,2,3,10,900.0,2720.0,0.0,2700.0,1
1,9,335,2,3,22,1980.0,2720.0,0.0,2710.0,1
1,9,274,2,3,9,730.0,2720.0,0.0,2710.0,1
1,10,275,2,3,21,1680.0,2710.0,0.0,2690.0,0
1,10,317,2,3,12,960.0,2710.0,0.0,2690.0,0
1,10,396,3,3,1,50.0,2710.0,0.0,2690.0,0
1,11,235,2,3,21,1850.0,2720.0,0.0,2720.0,0
1,11,221,2,3,10,820.0,2720.0,0.0,2720.0,0
1,11,342,3,3,1,50.0,2720.0,0.0,2720.0,0
1,12,268,2,3,18,1440.0,2700.0,0.0,2650.0,0
1,12,258,2,3,14,1120.0,2700.0,0.0,2650.0,0
1,12,290,2,3,1,90.0,2700.0,0.0,2650.0,0
1,13,267,2,3,18,1470.0,2750.0,0.0,2750.0,1
1,13,276,2,3,16,1280.0,2750.0,0.0,2750.0,1
1,14,223,2,3,17,1530.0,2700.0,0.0,2700.0,0
1,14,296,2,3,14,1120.0,2700.0,0.0,2700.0,0
1,14,374,3,3,1,50.0,2700.0,0.0,2700.0,0
2,0,260,2,3,26,2180.0,2700.0,0.0,2660.0,0
2,0,313,2,3,2,160.0,2700.0,0.0,2660.0,0
2,0,243,2,3,4,320.0,2700.0,0.0,2660.0,0
