ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,509,5,10,6,480.0,900.0,800.0,0
0,0,703,5,10,1,80.0,900.0,800.0,0
0,0,459,5,10,3,240.0,900.0,800.0,0
0,1,603,5,10,6,480.0,1000.0,960.0,1
0,1,518,5,10,6,480.0,1000.0,960.0,1
0,2,551,5,10,7,560.0,940.0,880.0,0
0,2,616,5,10,2,160.0,940.0,880.0,0
0,2,701,5,10,2,160.0,940.0,880.0,0
0,3,601,5,10,7,560.0,960.0,960.0,0
0,3,665,5,10,3,240.0,960.0,960.0,0
0,3,615,5,10,2,160.0,960.0,960.0,0
0,4,575,5,10,7,560.0,900.0,880.0,0
0,4,610,5,10,2,160.0,900.0,880.0,0
0,4,679,5,10,2,160.0,900.0,880.0,0
0,5,553,5,10,8,640.0,920.0,880.0,1
0,5,608,5,10,3,240.0,920.0,880.0,1
0,6,516,5,10,8,640.0,940.0,890.0,0
0,6,313,2,3,2,160.0,940.0,890.0,0
0,6,293,2,3,1,90.0,940.0,890.0,0
0,7,430,5,10,9,720.0,950.0,890.0,0
0,7,224,2,3,1,90.0,950.0,890.0,0
0,7,299,2,3,1,80.0,950.0,890.0,0
0,8,515,5,10,9,720.0,960.0,960.0,0
0,8,291,2,3,2,160.0,960.0,960.0,0
0,8,217,2,3,1,80.0,960.0,960.0,0
0,9,567,5,10,9,720.0,900.0,870.0,1
0,9,256,2,0,3,150.0,900.0,870.0,1
0,10,586,5,10,9,720.0,930.0,900.0,1
0,10,289,2,3,2,180.0,930.0,900.0,1
0,11,542,5,10,9,720.0,930.0,920.0,0
0,11,240,2,0,3,150.0,930.0,920.0,0
0,11,337,2,0,1,50.0,930.0,920.0,0
0,12,537,5,10,8,640.0,910.0,880.0,1
0,12,310,2,3,3,240.0,910.0,880.0,1
0,13,539,5,10,9,720.0,930.0,900.0,0
0,13,290,2,3,1,90.0,930.0,900.0,0
0,13,309,2,3,1,90.0,930.0,900.0,0
0,14,602,5,10,9,720.0,930.0,930.0,0
