policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,5129.3217855590165,63.05052150911261,-4792.995717568521,2571.0099307119235,263.3740227167186,1749.0716405041917,-231.59385750815383,4028301.81222678,-4338.659186592602,-46946.52499104963,-7.241544546188206,40,13,27,13,13490.0,0.325,0.675
myopic,1,4530.588936300883,51.790993988591325,-4193.110923298379,2277.612159977853,268.6262670352804,978.5733474540485,-206.0281712133831,3606482.8652113173,-3866.6190112209965,-36056.16890946567,-7.582555976019875,40,13,26,14,13490.0,0.325,0.65
myopic,2,4903.289069537631,17.713907136270926,-4563.001636947364,2462.983888532824,241.66091923069902,1018.3742620305194,-326.9764546012035,3817963.052014777,-4107.737595600746,-43699.53798209481,-5.511034681322817,40,11,30,10,13490.0,0.275,0.75
myopic,3,4430.456894959729,60.3911046614172,-4086.119168230752,2221.656714012952,263.5668669960643,675.0318584898941,-180.342221025205,3473512.328917723,-3757.8932622666816,-40830.23019923841,-7.691001050870465,40,10,26,14,13490.0,0.25,0.65
myopic,4,4348.490620778011,16.828211779457376,-4227.099564200541,2184.8320228718485,202.93192061004126,1671.4768279648997,-339.7102130966743,3324086.6048555565,-3577.6122724866736,-37839.490529187926,-9.48662764637856,40,7,23,17,13490.0,0.175,0.575
greedy_crh,0,1588.6593402645983,0.0,-1563.9270292931674,799.925622823735,68.04992007857001,913.9561710370759,-94.79804710055012,1242003.4598216177,-1315.8052128722788,-12603.857561970846,-4.097958353392576,14,8,8,6,4480.0,0.5714285714285714,0.5714285714285714
greedy_crh,1,2152.4636204331255,0.0,-2130.8635321143593,1084.3392483489179,98.55156878066634,662.1773218539066,-98.41475957317559,1656483.8757918575,-1765.6290404112913,-15194.794989497628,-2.800704939412108,14,10,10,4,4480.0,0.7142857142857143,0.7142857142857143
greedy_crh,2,1230.8311162148225,0.0,-1241.0307198379262,620.5153599189631,68.71180760537706,284.97820279174783,-74.41071794539486,1010953.9299671659,-1044.4291419921515,-8954.733413542715,-3.4621909183574204,14,7,9,5,4480.0,0.5,0.6428571428571429
greedy_crh,3,1577.017993188757,0.0,-1384.347040306921,793.1301462415279,67.25705176550088,313.6492045748996,32.473311022688264,1231878.1997141289,-1332.597289644386,-18324.20451286248,-4.1992172613261705,14,8,8,6,4480.0,0.5714285714285714,0.5714285714285714
greedy_crh,4,957.8962451333649,0.0,-966.7735284099047,483.38676420495227,58.36109854722092,140.761081900147,-70.02569219557034,765474.4180027418,-800.4368271110554,-5475.676531540191,-5.7080900894511695,14,6,6,8,4480.0,0.42857142857142855,0.42857142857142855
frontload,0,1588.6593402645983,0.0,-1563.9270292931674,799.925622823735,68.04992007857001,913.9561710370759,-94.79804710055012,1242003.4598216177,-1315.8052128722788,-12603.857561970846,-4.097958353392576,14,8,8,6,4480.0,0.5714285714285714,0.5714285714285714
