ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,609,5,10,29,1599.9870690804382,2700.0,0.0,2648.254459167622,0
0,0,453,5,10,18,993.0954221878583,2700.0,0.0,2648.254459167622,0
0,0,703,5,10,1,55.17196789932546,2700.0,0.0,2648.254459167622,0
0,1,704,5,10,27,1489.6431332817874,2751.745540832378,0.0,2703.4264270669473,1
0,1,545,5,10,22,1213.7832937851601,2751.745540832378,0.0,2703.4264270669473,1
0,2,684,5,10,25,1379.2991974831364,2748.3191137654308,0.0,2703.4264270669473,1
0,2,663,5,10,24,1324.127229583811,2748.3191137654308,0.0,2703.4264270669473,1
0,3,528,5,10,21,1158.6113258858347,2744.8926866984834,0.0,2703.426427066948,0
0,3,618,5,10,20,1103.439357986509,2744.8926866984834,0.0,2703.426427066948,0
0,3,553,5,10,8,441.3757431946037,2744.8926866984834,0.0,2703.426427066948,0
0,4,631,5,10,20,1103.439357986509,2741.4662596315356,0.0,2703.4264270669473,0
0,4,635,5,10,20,1103.439357986509,2741.4662596315356,0.0,2703.4264270669473,0
0,4,430,5,10,9,496.54771109392914,2741.4662596315356,0.0,2703.4264270669473,0
0,5,435,5,10,18,993.0954221878583,2738.0398325645883,0.0,2703.4264270669473,0
0,5,520,5,10,18,993.0954221878583,2738.0398325645883,0.0,2703.4264270669473,0
0,5,489,5,10,13,717.235582691231,2738.0398325645883,0.0,2703.4264270669473,0
0,6,541,5,10,20,1103.439357986509,2734.613405497641,0.0,2703.4264270669473,0
0,6,712,5,10,19,1048.2673900871837,2734.613405497641,0.0,2703.4264270669473,0
0,6,535,5,10,10,551.7196789932545,2734.613405497641,0.0,2703.4264270669473,0
0,7,455,5,10,17,937.9234542885328,2731.1869784306937,0.0,2703.4264270669473,0
0,7,468,5,10,17,937.9234542885328,2731.1869784306937,0.0,2703.4264270669473,0
0,7,495,5,10,15,827.5795184898819,2731.1869784306937,0.0,2703.4264270669473,0
0,8,451,5,10,16,882.7514863892073,2727.7605513637463,0.0,2703.4264270669473,0
0,8,563,5,10,19,1048.2673900871837,2727.7605513637463,0.0,2703.4264270669473,0
0,8,439,5,10,14,772.4075505905564,2727.7605513637463,0.0,2703.4264270669473,0
0,9,521,5,10,19,1048.2673900871837,2724.334124296799,0.0,2703.4264270669473,0
0,9,427,5,10,17,937.9234542885328,2724.334124296799,0.0,2703.4264270669473,0
0,9,429,5,10,13,717.235582691231,2724.334124296799,0.0,2703.4264270669473,0
0,10,544,5,10,18,993.0954221878583,2720.9076972298517,0.0,2703.4264270669473,0
0,10,591,5,10,18,993.0954221878583,2720.9076972298517,0.0,2703.4264270669473,0
0,10,540,5,10,13,717.235582691231,2720.9076972298517,0.0,2703.4264270669473,0
0,11,449,5,10,17,937.9234542885328,2717.4812701629044,0.0,2703.4264270669473,0
0,11,538,5,10,18,993.0954221878583,2717.4812701629044,0.0,2703.4264270669473,0
0,11,564,5,10,14,772.4075505905564,2717.4812701629044,0.0,2703.4264270669473,0
0,12,536,5,10,16,882.7514863892073,2714.054843095957,0.0,2703.4264270669473,0
0,12,494,5,10,17,937.9234542885328,2714.054843095957,0.0,2703.4264270669473,0
0,12,522,5,10,16,882.7514863892073,2714.054843095957,0.0,2703.4264270669473,0
0,13,422,5,10,18,993.0954221878583,2710.6284160290097,0.0,2703.4264270669473,0
0,13,500,5,10,18,993.0954221878583,2710.6284160290097,0.0,2703.4264270669473,0
