ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,283,2,3,11,900.0,900.0,0.0,900.0,1
0,1,282,2,3,10,800.0,900.0,0.0,800.0,1
0,2,317,2,3,12,960.0,1000.0,0.0,960.0,1
0,3,236,2,3,11,920.0,940.0,0.0,920.0,1
0,4,278,2,3,10,800.0,920.0,0.0,800.0,1
0,5,279,2,3,12,960.0,1020.0,0.0,960.0,1
0,6,271,2,3,12,960.0,960.0,0.0,960.0,1
0,7,221,2,3,10,820.0,900.0,0.0,820.0,1
0,8,318,2,3,12,980.0,980.0,0.0,980.0,1
0,9,255,2,3,10,900.0,900.0,0.0,900.0,1
0,10,311,2,3,10,900.0,900.0,0.0,900.0,1
0,11,-1,0,-1,0,0.0,900.0,0.0,0.0,1
0,12,238,2,3,22,1800.0,1800.0,0.0,1800.0,1
0,13,-1,0,-1,0,0.0,900.0,0.0,0.0,1
0,14,247,2,3,22,1790.0,1800.0,0.0,1790.0,1
1,0,283,2,3,11,900.0,900.0,0.0,900.0,1
1,1,282,2,3,10,800.0,900.0,0.0,800.0,1
1,2,317,2,3,12,960.0,1000.0,0.0,960.0,1
1,3,236,2,3,11,920.0,940.0,0.0,920.0,1
1,4,278,2,3,10,800.0,920.0,0.0,800.0,1
1,5,279,2,3,12,960.0,1020.0,0.0,960.0,1
1,6,271,2,3,12,960.0,960.0,0.0,960.0,1
1,7,221,2,3,10,820.0,900.0,0.0,820.0,1
1,8,318,2,3,12,980.0,980.0,0.0,980.0,1
1,9,255,2,3,10,900.0,900.0,0.0,900.0,1
1,10,311,2,3,10,900.0,900.0,0.0,900.0,1
1,11,-1,0,-1,0,0.0,900.0,0.0,0.0,1
1,12,238,2,3,22,1800.0,1800.0,0.0,1800.0,1
1,13,-1,0,-1,0,0.0,900.0,0.0,0.0,1
1,14,247,2,3,22,1790.0,1800.0,0.0,1790.0,1
2,0,283,2,3,11,900.0,900.0,0.0,900.0,1
2,1,282,2,3,10,800.0,900.0,0.0,800.0,1
2,2,317,2,3,12,960.0,1000.0,0.0,960.0,1
2,3,236,2,3,11,920.0,940.0,0.0,920.0,1
2,4,278,2,3,10,800.0,920.0,0.0,800.0,1
2,5,279,2,3,12,960.0,1020.0,0.0,960.0,1
2,6,271,2,3,12,960.0,960.0,0.0,960.0,1
2,7,221,2,3,10,820.0,900.0,0.0,820.0,1
2,8,318,2,3,12,980.0,980.0,0.0,980.0,1
2,9,255,2,3,10,900.0,900.0,0.0,900.0,1
2,10,311,2,3,10,900.0,900.0,0.0,900.0,1
2,11,-1,0,-1,0,0.0,900.0,0.0,0.0,1
2,12,238,2,3,22,1800.0,1800.0,0.0,1800.0,1
2,13,-1,0,-1,0,0.0,900.0,0.0,0.0,1
2,14,247,2,3,22,1790.0,1800.0,0.0,1790.0,1
3,0,283,2,3,11,900.0,900.0,0.0,900.0,1
3,1,282,2,3,10,800.0,900.0,0.0,800.0,1
3,2,317,2,3,12,960.0,1000.0,0.0,960.0,1
3,3,236,2,3,11,920.0,940.0,0.0,920.0,1
3,4,278,2,3,10,800.0,920.0,0.0,800.0,1
3,5,279,2,3,12,960.0,1020.0,0.0,960.0,1
3,6,271,2,3,12,960.0,960.0,0.0,960.0,1
3,7,221,2,3,10,820.0,900.0,0.0,820.0,1
3,8,318,2,3,12,980.0,980.0,0.0,980.0,1
3,9,255,2,3,10,900.0,900.0,0.0,900.0,1
3,10,311,2,3,10,900.0,900.0,0.0,900.0,1
3,11,-1,0,-1,0,0.0,900.0,0.0,0.0,1
3,12,238,2,3,22,1800.0,1800.0,0.0,1800.0,1
3,13,-1,0,-1,0,0.0,900.0,0.0,0.0,1
3,14,247,2,3,22,1790.0,1800.0,0.0,1790.0,1
4,0,283,2,3,11,900.0,900.0,0.0,900.0,1
4,1,282,2,3,10,800.0,900.0,0.0,800.0,1
4,2,317,2,3,12,960.0,1000.0,0.0,960.0,1
4,3,236,2,3,11,920.0,940.0,0.0,920.0,1
4,4,278,2,3,10,800.0,920.0,0.0,800.0,1
4,5,279,2,3,12,960.0,1020.0,0.0,960.0,1
4,6,271,2,3,12,960.0,960.0,0.0,960.0,1
4,7,221,2,3,10,820.0,900.0,0.0,820.0,1
4,8,318,2,3,12,980.0,980.0,0.0,980.0,1
4,9,255,2,3,10,900.0,900.0,0.0,900.0,1
4,10,311,2,3,10,900.0,900.0,0.0,900.0,1
4,11,-1,0,-1,0,0.0,900.0,0.0,0.0,1
4,12,238,2,3,22,1800.0,1800.0,0.0,1800.0,1
4,13,-1,0,-1,0,0.0,900.0,0.0,0.0,1
4,14,247,2,3,22,1790.0,1800.0,0.0,1790.0,1
