ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,527,5,10,11,880.0,900.0,880.0,1
0,1,670,5,10,11,880.0,920.0,880.0,1
0,2,434,5,10,11,880.0,940.0,930.0,1
0,2,265,2,1,1,50.0,940.0,930.0,1
0,3,611,5,10,11,880.0,910.0,880.0,1
0,4,502,5,10,11,880.0,930.0,930.0,1
0,4,218,2,1,1,50.0,930.0,930.0,1
0,5,683,5,10,11,880.0,900.0,880.0,1
0,6,652,5,10,11,880.0,920.0,880.0,1
0,7,648,5,10,11,880.0,940.0,930.0,1
0,7,225,2,1,1,50.0,940.0,930.0,1
0,8,206,1,1,10,900.0,910.0,900.0,1
0,9,149,1,1,10,850.0,910.0,900.0,1
0,9,241,2,1,1,50.0,910.0,900.0,1
0,10,139,1,1,10,850.0,910.0,900.0,1
0,10,309,2,1,1,50.0,910.0,900.0,1
0,11,160,1,1,10,850.0,910.0,900.0,1
0,11,290,2,1,1,50.0,910.0,900.0,1
0,12,19,1,1,10,850.0,910.0,900.0,1
0,12,224,2,1,1,50.0,910.0,900.0,1
0,13,170,1,1,10,850.0,910.0,900.0,1
0,13,293,2,1,1,50.0,910.0,900.0,1
0,14,3,1,1,10,850.0,910.0,900.0,1
0,14,265,2,1,1,50.0,910.0,900.0,1
1,0,527,5,10,11,880.0,900.0,880.0,1
1,1,670,5,10,11,880.0,920.0,880.0,1
1,2,434,5,10,11,880.0,940.0,930.0,1
1,2,265,2,1,1,50.0,940.0,930.0,1
1,3,611,5,10,11,880.0,910.0,880.0,1
1,4,502,5,10,11,880.0,930.0,930.0,1
1,4,218,2,1,1,50.0,930.0,930.0,1
1,5,683,5,10,11,880.0,900.0,880.0,1
1,6,652,5,10,11,880.0,920.0,880.0,1
1,7,648,5,10,11,880.0,940.0,930.0,1
1,7,225,2,1,1,50.0,940.0,930.0,1
1,8,206,1,1,10,900.0,910.0,900.0,1
1,9,149,1,1,10,850.0,910.0,900.0,1
1,9,241,2,1,1,50.0,910.0,900.0,1
1,10,139,1,1,10,850.0,910.0,900.0,1
1,10,309,2,1,1,50.0,910.0,900.0,1
1,11,160,1,1,10,850.0,910.0,900.0,1
1,11,290,2,1,1,50.0,910.0,900.0,1
1,12,19,1,1,10,850.0,910.0,900.0,1
1,12,224,2,1,1,50.0,910.0,900.0,1
1,13,170,1,1,10,850.0,910.0,900.0,1
1,13,293,2,1,1,50.0,910.0,900.0,1
1,14,3,1,1,10,850.0,910.0,850.0,1
2,0,527,5,10,11,880.0,900.0,880.0,1
2,1,670,5,10,11,880.0,920.0,880.0,1
2,2,434,5,10,11,880.0,940.0,930.0,1
2,2,265,2,1,1,50.0,940.0,930.0,1
2,3,611,5,10,11,880.0,910.0,880.0,1
2,4,502,5,10,11,880.0,930.0,930.0,1
2,4,218,2,1,1,50.0,930.0,930.0,1
2,5,683,5,10,11,880.0,900.0,880.0,1
2,6,652,5,10,11,880.0,920.0,880.0,1
2,7,648,5,10,11,880.0,940.0,930.0,1
2,7,225,2,1,1,50.0,940.0,930.0,1
2,8,206,1,1,10,900.0,910.0,900.0,1
2,9,149,1,1,10,850.0,910.0,900.0,1
2,9,241,2,1,1,50.0,910.0,900.0,1
2,10,139,1,1,10,850.0,910.0,900.0,1
2,10,309,2,1,1,50.0,910.0,900.0,1
2,11,160,1,1,10,850.0,910.0,900.0,1
2,11,290,2,1,1,50.0,910.0,900.0,1
2,12,19,1,1,10,850.0,910.0,900.0,1
2,12,224,2,1,1,50.0,910.0,900.0,1
2,13,170,1,1,10,850.0,910.0,900.0,1
2,13,293,2,1,1,50.0,910.0,900.0,1
2,14,3,1,1,10,850.0,910.0,900.0,1
2,14,265,2,1,1,50.0,910.0,900.0,1
3,0,527,5,10,11,880.0,900.0,880.0,1
3,1,670,5,10,11,880.0,920.0,880.0,1
3,2,434,5,10,11,880.0,940.0,930.0,1
3,2,265,2,1,1,50.0,940.0,930.0,1
3,3,611,5,10,11,880.0,910.0,880.0,1
3,4,502,5,10,11,880.0,930.0,930.0,1
3,4,218,2,1,1,50.0,930.0,930.0,1
3,5,683,5,10,11,880.0,900.0,880.0,1
3,6,652,5,10,11,880.0,920.0,880.0,1
3,7,648,5,10,11,880.0,940.0,930.0,1
3,7,225,2,1,1,50.0,940.0,930.0,1
3,8,206,1,1,10,900.0,910.0,900.0,1
3,9,149,1,1,10,850.0,910.0,900.0,1
3,9,241,2,1,1,50.0,910.0,900.0,1
3,10,139,1,1,10,850.0,910.0,900.0,1
3,10,309,2,1,1,50.0,910.0,900.0,1
3,11,160,1,1,10,850.0,910.0,900.0,1
3,11,290,2,1,1,50.0,910.0,900.0,1
3,12,19,1,1,10,850.0,910.0,900.0,1
3,12,224,2,1,1,50.0,910.0,900.0,1
3,13,170,1,1,10,850.0,910.0,900.0,1
3,13,293,2,1,1,50.0,910.0,900.0,1
3,14,3,1,1,10,850.0,910.0,850.0,1
4,0,527,5,10,11,880.0,900.0,880.0,1
4,1,670,5,10,11,880.0,920.0,880.0,1
4,2,434,5,10,11,880.0,940.0,930.0,1
4,2,265,2,1,1,50.0,940.0,930.0,1
4,3,611,5,10,11,880.0,910.0,880.0,1
4,4,502,5,10,11,880.0,930.0,930.0,1
4,4,218,2,1,1,50.0,930.0,930.0,1
4,5,683,5,10,11,880.0,900.0,880.0,1
4,6,652,5,10,11,880.0,920.0,880.0,1
4,7,648,5,10,11,880.0,940.0,930.0,1
4,7,225,2,1,1,50.0,940.0,930.0,1
4,8,206,1,1,10,900.0,910.0,900.0,1
